verTag,model,reason-filter,reason-version,splits,epochs,learning-rate,warmup-steps,batch-size,nTrain,nValidate,nTest,accTest,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
radBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,radBERT,NCNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.740,0.403,0.702,0.695,0.590860786,0.809876543,7460,14785,0.809876543,0.788967287,0.831924248,0.831924248,0.441018767,0.558981233,2135,0.965,0.985,1.444,40.518,4,12300,4170,3290,2485,3/19/24 23:35
radBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,radBERT,CNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.739,0.403,0.701,0.697,0.593288026,0.807889599,7460,14785,0.807889599,0.790953862,0.825566452,0.825566452,0.432439678,0.567560322,2142,0.969,0.986,1.449,41.204,4,12206,4234,3226,2579,3/19/24 21:25
baseBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,baseBERT,NCNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.739,0.396,0.698,0.690,0.581296416,0.810358904,7460,14785,0.810358904,0.783468047,0.839161312,0.839161312,0.459651475,0.540348525,2136,0.967,0.99,1.444,39.429,4,12407,4031,3429,2378,3/19/24 23:35
baseBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.739,0.396,0.698,0.690,0.581296416,0.810358904,7460,14785,0.810358904,0.783468047,0.839161312,0.839161312,0.459651475,0.540348525,2136,0.967,0.99,1.444,39.429,4,12407,4031,3429,2378,3/19/24 21:27
radBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,radBERT,CF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.739,0.402,0.701,0.696,0.592613358,0.807650309,7460,14785,0.807650309,0.790619331,0.82543118,0.82543118,0.433243968,0.566756032,2148,0.964,0.985,1.453,40.902,4,12204,4228,3232,2581,3/19/24 22:30
radBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.737,0.396,0.698,0.692,0.586084739,0.807677114,7460,14785,0.807677114,0.786800077,0.829692256,0.829692256,0.445576408,0.554423592,2141,0.964,0.985,1.448,41.164,4,12267,4136,3324,2518,3/19/24 19:49
baseBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.737,0.391,0.696,0.687,0.577845176,0.809216109,7460,14785,0.809216109,0.7818629,0.838552587,0.838552587,0.463672922,0.536327078,2135,0.966,0.986,1.444,39.53,4,12398,4001,3459,2387,3/19/24 19:45
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.737,0.396,0.698,0.693,0.587754527,0.806878569,7460,14785,0.806878569,0.787970603,0.826716266,0.826716266,0.440884718,0.559115282,2138,0.96,0.992,1.446,38.038,4,12223,4171,3289,2562,3/19/24 19:52
bioClinBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,bioClinBERT,CF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.736,0.393,0.697,0.691,0.584353982,0.806652396,7460,14785,0.806652396,0.786071887,0.828339533,0.828339533,0.446782842,0.553217158,2140,0.961,0.991,1.447,37.594,4,12247,4127,3333,2538,3/19/24 22:33
baseBERT-randomsplits-ep2bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,baseBERT,CF,3-2x,random:80-10-10,2,3.00E-05,0,32,177959,22245,22245,0.735,0.391,0.695,0.689,0.581704457,0.806548108,7460,14785,0.806548108,0.784599642,0.829759892,0.829759892,0.451474531,0.548525469,2121,0.962,0.99,1.434,39.389,4,12268,4092,3368,2517,3/19/24 22:31
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,bioClinBERT,NCNF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.738,0.397,0.699,0.693,0.587286997,0.807658088,7460,14785,0.807658088,0.787495181,0.828880622,0.828880622,0.443297587,0.556702413,2128,0.976,0.994,1.439,36.949,4,12255,4153,3307,2530,3/19/24 23:51
baseBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,baseBERT,NCNF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.738,0.398,0.699,0.693,0.58793579,0.808000264,7460,14785,0.808000264,0.787779491,0.829286439,0.829286439,0.442761394,0.557238606,2126,0.971,0.99,1.438,36.727,4,12261,4157,3303,2524,3/19/24 23:49
radBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,radBERT,NCNF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.737,0.400,0.700,0.696,0.593663146,0.805701376,7460,14785,0.805701376,0.79181088,0.820087927,0.820087927,0.427345845,0.572654155,2141,0.971,0.991,1.448,37.554,4,12125,4272,3188,2660,3/19/24 23:49
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,bioClinBERT,CF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.736,0.390,0.695,0.687,0.578263056,0.807942687,7460,14785,0.807942687,0.782374557,0.835238417,0.835238417,0.460455764,0.539544236,2129,0.977,0.991,1.44,36.546,4,12349,4025,3435,2436,3/19/24 22:47
baseBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,baseBERT,CF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.733,0.386,0.693,0.688,0.580011309,0.804165843,7460,14785,0.804165843,0.784212895,0.825160636,0.825160636,0.45,0.55,2123,0.971,0.989,1.436,36.908,4,12200,4103,3357,2585,3/19/24 22:44
radBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,radBERT,CF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.737,0.400,0.700,0.696,0.593717495,0.805148159,7460,14785,0.805148159,0.792004711,0.818735205,0.818735205,0.42613941,0.57386059,2149,0.97,0.99,1.453,37.917,4,12105,4281,3179,2680,3/19/24 22:44
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,bioClinBERT,CNF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.738,0.397,0.699,0.693,0.587286997,0.807658088,7460,14785,0.807658088,0.787495181,0.828880622,0.828880622,0.443297587,0.556702413,2128,0.976,0.994,1.439,36.949,4,12255,4153,3307,2530,3/19/24 21:42
baseBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.738,0.398,0.699,0.693,0.58793579,0.808000264,7460,14785,0.808000264,0.787779491,0.829286439,0.829286439,0.442761394,0.557238606,2126,0.971,0.99,1.438,36.727,4,12261,4157,3303,2524,3/19/24 21:40
radBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,radBERT,CNF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.739,0.407,0.704,0.701,0.601370802,0.80548495,7460,14785,0.80548495,0.796692028,0.814474129,0.814474129,0.411930295,0.588069705,2140,0.972,0.989,1.447,37.755,4,12042,4387,3073,2743,3/19/24 21:40
bioClinBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.735,0.388,0.694,0.688,0.579187455,0.806172029,7460,14785,0.806172029,0.783285486,0.830436253,0.830436253,0.45536193,0.54463807,2142,0.973,0.992,1.449,37.312,4,12278,4063,3397,2507,3/19/24 20:06
radBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.737,0.398,0.699,0.694,0.590434843,0.806382204,7460,14785,0.806382204,0.789678423,0.823807913,0.823807913,0.434852547,0.565147453,2138,0.969,0.988,1.446,39.207,4,12180,4216,3244,2605,3/19/24 20:03
baseBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.736,0.392,0.696,0.689,0.581921708,0.807030223,7460,14785,0.807030223,0.784605557,0.830774434,0.830774434,0.452010724,0.547989276,2129,0.969,0.993,1.44,38.804,4,12283,4088,3372,2502,3/19/24 19:59
